Automat, 20.2.0
Babel, 2.11.0
Bottleneck, 1.3.5
Brotli, 1.1.0
CoolProp, 6.6.0
Django, 5.0.5
Faker, 25.0.1
Flask, 2.2.2
FuzzyTM, 2.0.9
GitPython, 3.1.43
HeapDict, 1.0.1
Jinja2, 3.1.2
Markdown, 3.4.1
MarkupSafe, 2.1.1
MouseInfo, 0.1.3
Naked, 0.1.32
Pillow, 9.4.0
Protego, 0.1.16
PyAutoGUI, 0.9.54
PyDispatcher, 2.0.5
PyGetWindow, 0.0.9
PyMsgBox, 1.0.9
PyMuPDF, 1.24.2
PyMuPDFb, 1.24.1
PyNaCl, 1.5.0
PyQt5-sip, 12.11.0
PyRect, 0.2.0
PyScreeze, 0.1.30
PySide2, 5.13.2
PySocks, 1.7.1
PyWave, 0.5.0
PyWavelets, 1.4.1
PyYAML, 6.0
Pygments, 2.15.1
QDarkStyle, 3.0.2
QtAwesome, 1.2.2
QtPy, 2.2.0
RPi.GPIO, 0.7.1
Rtree, 1.0.1
SQLAlchemy, 1.4.39
Scrapy, 2.8.0
SecretStorage, 3.3.1
Send2Trash, 1.8.0
SpeechRecognition, 3.10.4
Sphinx, 5.0.2
StrEnum, 0.4.15
Twisted, 22.10.0
Unidecode, 1.2.0
WMI, 1.4.9
Wave, 0.0.2
Werkzeug, 2.2.3
XlsxWriter, 3.2.0
absl-py, 2.1.0
aiobotocore, 2.5.0
aiofiles, 22.1.0
aiohttp, 3.8.5
aioitertools, 0.7.1
aiosignal, 1.2.0
aiosqlite, 0.18.0
alabaster, 0.7.12
altair, 5.3.0
annotated-types, 0.6.0
anyio, 3.5.0
appdirs, 1.4.4
argon2-cffi, 21.3.0
argon2-cffi-bindings, 21.2.0
arrow, 1.2.3
asgiref, 3.8.1
astroid, 2.14.2
astropy, 5.1
asttokens, 2.0.5
astunparse, 1.6.3
async-timeout, 4.0.2
atomicwrites, 1.4.0
attrs, 23.2.0
audioread, 3.0.1
autopep8, 1.6.0
backcall, 0.2.0
bcrypt, 3.2.0
beautifulsoup4, 4.12.2
binaryornot, 0.4.4
bio, 1.7.0
biopython, 1.83
biothings-client, 0.3.1
black, 0.0
bleach, 4.1.0
blinker, 1.8.2
blis, 0.7.11
board, 1.0
bokeh, 3.2.1
boto3, 1.34.99
botocore, 1.34.99
brotlipy, 0.7.0
cachetools, 5.3.3
catalogue, 2.0.10
certifi, 2023.7.22
cffi, 1.15.1
cftime, 1.6.3
chardet, 3.0.4
charset-normalizer, 2.0.4
chess, 1.10.0
click, 8.0.4
click-plugins, 1.1.1
cligj, 0.7.2
cloudpathlib, 0.16.0
cloudpickle, 2.2.1
clr, 1.0.3
colorama, 0.4.6
colorcet, 3.0.1
comm, 0.1.2
confection, 0.1.4
constantly, 15.1.0
contourpy, 1.0.5
cookiecutter, 2.6.0
crypto, 1.4.1
cryptography, 41.0.3
cssselect, 1.1.0
cycler, 0.11.0
cymem, 2.0.8
cytoolz, 0.12.0
dask, 2023.6.0
datasets, 2.12.0
datashader, 0.15.2
datashape, 0.5.4
debugpy, 1.6.7
decorator, 4.4.2
defusedxml, 0.7.1
diagrams, 0.23.4
diff-match-patch, 20200713
dill, 0.3.6
discord, 2.3.2
discord.py, 2.3.2
distributed, 2023.6.0
dnspython, 2.6.1
docker, 7.0.0
docopt, 0.6.2
docstring-to-markdown, 0.11
docutils, 0.18.1
docx, 0.2.4
enchant, 0.0.1
entrypoints, 0.4
et-xmlfile, 1.1.0
executing, 0.8.3
fastapi, 0.110.3
fastjsonschema, 2.16.2
ffmpeg-python, 0.2.0
filelock, 3.9.0
fiona, 1.9.6
flake8, 6.0.0
flatbuffers, 24.3.25
flet, 0.22.0
flet-core, 0.22.0
flet-runtime, 0.22.0
fonttools, 4.25.0
fpdf, 1.7.2
frozendict, 2.4.4
